Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R1","2.7K","R_1206_3216Metric",143.967200,-74.168000,270.000000,top
"R2","2.7K","R_1206_3216Metric",171.348400,-74.117200,270.000000,top
"R3","200k","R_1206_3216Metric",138.226800,-73.761600,0.000000,top
"R4","200k","R_1206_3216Metric",176.987200,-73.761600,180.000000,top
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",135.229600,-80.721200,270.000000,top
"USB2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",179.984400,-80.670400,90.000000,top
