Comment,Designator,Footprint,LCSC
"USB_C_Receptacle_USB2.0","USB1,USB2","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"2.7K","R1,R2","Resistor_SMD:R_1206_3216Metric","C17950"
